ID,単語,日本語
634,passenger,乗客
635,past,過去
636,people,人々
637,performance,パフォーマンス
638,period,（授業の）一時間
639,person,個人
640,photo (photograph),写真
641,photographer,写真家
642,piece,部品
643,planet,惑星
644,plant,植物
645,pleasure,楽しみ
646,police officer,おまわりさん
647,pond,池
648,present,プレゼント/現在
649,presentation,発表
650,price,値段
651,problem,問題
652,product,製品
653,professor,教授
654,program / show,番組/ショー
655,progress,進歩/発達
656,question,質問/問題
657,reason,理由
658,relation,関係
659,reservation,予約
660,rest,休息
661,restaurant,レストラン
662,result,結果
663,report,レポート/報告書
664,scene,光景/シーン
665,sentence,文
666,shape,形
667,shrine,神社
668,sightseeing,観光
669,skill,技術
670,something,何か一つのもの
671,space,宇宙
672,stadium,競技場/スタジアム
673,stomachache,腹痛
674,standard,基準
675,stairs,階段
676,street,通り
677,strength,強さ/長所
678,（米）subway/（英）tube,地下鉄
679,surprise,驚くべきこと
680,symbol,シンボル/記号
681,technology,科学技術
682,temple,お寺
683,theater,映画館/劇場
684,thing,もの/こと
685,tonight,今夜
686,tomorrow,明日
687,toothache,歯痛
688,topic,話題
689,towel,タオル
690,tower,タワー
691,traffic,交通
692,trash,ごみ
693,trouble,困難
694,uniform,制服/ユニフォーム
695,vacation,休暇
696,vegetable,野菜
697,vending machine,自動販売機
698,view,景色/ながめ
699,village,村
700,voice,声
701,volunteer,ボランティア
702,wallet,さいふ
703,way,方法/道
704,weather,天気
705,weekend / weekday,週末/平日
706,wheelchair,車いす
707,wife,妻
708,wisdom,知恵
709,yourself,あなた自身の
710,Why?,なぜ？
711,How often?,何回？
712,～hour(s),（単位）～時間
713,～minute(s),（単位）～分
714,～second(s),（単位）～秒
715,a lot of ～,たくさんの～
716,a kind of ～,～の一種
717,a cup of ～,一杯の（温かい飲み物）
718,a glass of ～,一杯の（冷たい飲み物）
719,a pair of ～,一対の～
720,a piece of ～,一枚の～/一切れの～
721,a part of ～,～の一部
722,again and again,何度も何度も
723,be about to ～,今にも～しようとしている
724,be absent from ～,～を休む
725,be afraid of ～,～を恐れる
726,be based on ～,～に基づいている
727,be careful of ～,～に気をつける
728,be covered with ～,～で覆われている
729,be different from ～,～と異なる
730,be famous for ～,～で有名です
731,be fond of ～,～が好きである
732,be full of ～,～でいっぱいである
733,be good at ～,～が得意です
734,be interested in ～,～に興味がある
735,be known as ～,～として知られている
736,be known to ～,～に知られている
737,be late for ～,～に遅れる
738,be made from ～（原料）,～でできている（原料）
739,be made of ～（材料）,～でできている（材料）
740,be pleased with ～,～を気に入る
741,be popular with ～,～で人気がある
742,be ready for ～,～の準備ができている
743,be surprised at ～,～に驚く
744,be in ～ club,～クラブに入っている
745,be on ～ team,～チームに入っている
746,be over,終わる
747,There is/are ～,～がある/いる
748,agree with ～,～に賛成する
749,arrive at (in) ～,～に到着する
750,get to ～,～に到着する
751,bring back,思い出させる
752,call ～ back,～に折り返し電話する
753,come back,もどる
754,come in,中に入る
755,come to ～,～するようになる
756,come true,実現する
757,get on ↔ get off,乗る↔降りる
758,go ～ing,～しに行く
759,go to bed ↔ get up,寝る↔起きる
760,go back,もどる/帰る
761,go home,帰宅する（帰っていく）
762,come home,帰宅する（帰ってくる）
763,get home,帰宅する（家に着く）
764,go for a walk,散歩に行く
765,take a walk,散歩する
766,give up,あきらめる
767,hear from ～,～から便りがある
768,write to ～,～に手紙を書く
769,leave (A) for ～,～へ向けて（Aを）出発する
770,look for ～,～を探す
771,look like ～,～のように見える
772,look forward to ～,～を楽しみにする
773,make a mistake,まちがいをする
774,run away,逃げる
775,show (人) around ～,（人）に～を案内する
776,speak to ～,～に話しかける
777,put on ～,～を着る/身につける
778,take off ～,～を脱ぐ
779,take A to ～,Aを～に持っていく/連れていく
780,take a bath (shower),ふろ（シャワー）に入る
781,take care of ～,～の世話をする
782,take part in ～,～に参加する
783,turn on ～ ↔ turn off ～,電源を入れる↔切る
784,want to ～,～したい
785,would like to ～,～したい
786,would like ～,～がほしい
787,Would you like ～?,～はいかがですか
788,Why don't we ～?,～するのはどうですか
789,Why don't you ～?,～してはいかがですか
790,after all,とうとう/ついに
791,at last,ついに
792,after a while,しばらくして
793,all day long,一日中
794,all night long,ひと晩中
795,～ and so on,～など
796,at once,すぐに
797,at the same time,同時に
798,for a while,しばらくの間
799,for the first time,はじめて
800,because of ～,～のために
801,by the way,ところで
802,each other,お互いに
803,for example,たとえば
804,in front of ～,～の前に
805,in order to ～,～するために
806,in the old days,かつては（昔は）
807,in line,一列に並んで
808,little by little,少しずつ
809,more than ～,～以上
810,next to ～,～の隣に
811,not ～ at all,少しも～でない
812,on foot,歩いて
813,on TV (the radio),テレビ（ラジオ）で
814,one day,ある日
815,over there,向こうで
816,right now (away),今すぐ
817,some day,いつか
818,these days,このごろ
819,thank you for ～,～にありがとう
820,It's time to ～,～する時間です
821,No problem.,問題なしです/大丈夫
822,Just (Wait) a minute.,少し待ってください
823,once a day,（例）一日に一回
824,twice a week,（例）一週間に二回
825,three times a month,（例）一か月に三回
826,global warming,地球温暖化
827,world heritage site,世界遺産
